baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010	102.250621550122	0.989878123843047	0.240936226333218	4.10846529352557	3.9829704400884e-05	0.000220637181018004
AT1G01020	415.949200960202	0.806375004005698	0.136617114615064	5.9024449921795	3.58153553327963e-09	4.70398351532311e-08
AT1G03987	1.49416901047193	1.3447687820539	1.80304483227744	0.745832137937088	0.455768823429277	0.657332053293613
AT1G01030	48.5829495791768	1.35505655815693	0.47608779559833	2.84623250309104	0.00442398806260027	0.0138457114161478
AT1G01040	1044.91977777138	0.554550571036287	0.167007863428837	3.32050575135096	0.0008985450771542	0.00345018187666686
AT1G03993	0	NA	NA	NA	NA	NA
AT1G01046	5.07756140944818	0.838990578798907	0.779320309817643	1.07656706520997	0.281673724455169	0.457765173479171
AT1G01050	2055.71101819566	-0.257698430837319	0.208873075092959	-1.23375610151107	0.217293801810157	0.372569053483498
AT1G03997	0.144728720816787	0.955412470876092	4.40735632396697	0.216776770618842	0.828382315869495	0.926874811039162
AT1G01060	1823.82188252104	2.60556523624814	1.00840081102413	2.58385872736649	0.00977018047693299	0.0276199639437894
AT1G01070	74.7871448941321	0.302055380216328	0.502549586480236	0.601045923312499	0.547809399540255	0.749717850989105
AT1G04003	0	NA	NA	NA	NA	NA
AT1G01080	2791.27381514477	-1.39366846388726	0.145586888092922	-9.57276085877835	1.0408825951833e-21	9.77519777063923e-20
AT1G01090	5940.94130420546	-0.30845295210459	0.304749674866619	-1.01215186608351	0.311465446601185	0.494336136043327
AT1G01100	7605.5697929269	0.0118067840851571	0.169955730100198	0.0694697617914756	0.944615701081593	1
AT1G01110	47.7430703956255	0.203511857476671	0.297426738410831	0.684241970187507	0.493822383743225	0.697092311187222
AT1G01120	1478.45498383582	-1.96983531074846	0.345800196570705	-5.69645515035354	1.22324050640744e-08	1.45892614394305e-07
AT1G01130	32.7513161600962	-0.49425579576497	0.341706930298894	-1.44643187462613	0.148056107014788	0.273458876241932
AT1G01140	2123.90694109781	1.45844808108661	0.279596521474374	5.21625974957018	1.82572109599808e-07	1.73031202954878e-06
AT1G01150	3.45582035902702	-4.28992880873231	1.56727172003394	-2.73719531456831	0.00619654909940466	0.0186104341116974
AT1G01160	535.071935979733	0.973398101302542	0.206996897787527	4.7024767603121	2.57024481988756e-06	1.88360724740409e-05
AT1G04007	14.4447146894732	0.283776569121871	0.515705720820568	0.550268414068277	0.582135285256876	0.780600844207084
AT1G01170	859.54990882503	-0.394678142814443	0.208554179103972	-1.89244897661667	0.0584311857648229	0.126851213906998
AT1G04013	3.73316875272305	-1.20115761735491	0.990210814581449	-1.21303221462253	0.225117504194671	0.382927868598142
AT1G01180	141.22033424334	-1.42170331533884	0.303349789488915	-4.68667974925624	2.77672949659013e-06	2.01731613602689e-05
AT1G01183	0.65189467336313	0.637009396736152	2.3738989116529	0.26833888907789	0.788438474331718	0.926874811039162
AT1G01190	99.185593387628	-3.59865236654109	0.708748863833774	-5.07747179596904	3.82490262503888e-07	3.39950561237324e-06
AT1G01200	33.2352438929425	-1.59898855606059	0.47379559582766	-3.37484892249233	0.000738562237669543	0.00290022378716244
AT1G01210	586.010368433013	1.17909329150474	0.247810503575026	4.75804404774864	1.95477849107628e-06	1.47051811464945e-05
AT1G04017	0	NA	NA	NA	NA	NA
AT1G01220	910.710391092702	-0.275113489652768	0.236483575628502	-1.16335136138567	0.244686974903009	0.409371337917024
AT1G04023	0	NA	NA	NA	NA	NA
AT1G01225	76.7294939604596	-0.419712937066723	0.242727576659897	-1.72915225720237	0.0837818485064927	0.171712832433108
AT1G01230	462.502964497381	-1.8306525466383	0.230126239562972	-7.95499266018012	1.79142128463449e-15	6.87368346914254e-14
AT1G01240	510.950979917621	-1.33558787009156	0.315468466969811	-4.23366519931568	2.29913149980237e-05	0.000134918883445908
AT1G01250	164.408911124856	-0.890383101163218	0.408275604661261	-2.18083836261036	0.0291953739967262	0.070683121523172
AT1G01260	309.122277301979	-0.642252439699739	0.237723202191985	-2.7016817617199	0.00689897602288497	0.0204864120507095
AT1G01270	0.137778444665773	0	4.40735632396697	0	1	1
AT1G01280	0	NA	NA	NA	NA	NA
AT1G01290	343.381401424686	0.190141124105834	0.224391256466763	0.847364229336618	0.396792136142487	0.593828494157857
AT1G01300	1386.00867955708	-0.819267888281305	0.271531847170968	-3.01720736192488	0.00255115231155791	0.0085909478355233
AT1G01305	4.9455668889283	4.22394383342631	3.583456860282	1.17873438919923	0.238503957455671	0.401251349408197
AT1G01310	41.3059451472689	3.82770716796473	0.861618833683551	4.44245995830976	8.89361879058562e-06	5.76293623875366e-05
AT1G01320	15333.2957716988	-0.0519479020246293	0.278977787807798	-0.1862080219104	0.852281633403899	0.944249160235752
AT1G01335	0.384881675469397	2.57873172650168	4.32122966564641	0.596758776096185	0.550668444592276	0.752003444849703
AT1G01340	187.116345665042	1.68095743227535	0.592227116503366	2.83836620349315	0.00453451255323515	0.0141323361182807
AT1G01350	626.195656582684	0.864442974955631	0.233911473113865	3.69559886673379	0.000219369093355511	0.000995649187075534
AT1G01355	2.81702246556588	0.072285730828795	1.13908596484106	0.0634594166375151	0.9494006749075	1
AT1G01360	520.523508223802	0.367414760616922	0.238700701936601	1.5392278180837	0.123748688623275	0.236180347312765
AT1G01370	78.4758009971212	-2.20806557523181	0.29106520844023	-7.58615427472237	3.29540029104235e-14	1.04499594353136e-12
AT1G01380	52.5878065048679	-0.796910444840487	0.317397830657462	-2.51076210316169	0.0120470852634541	0.0331020627203185
AT1G01390	109.109506953207	-1.61890304486062	0.41923051322911	-3.86160595132035	0.000112644143084347	0.000552806329088703
AT1G01400	0.0545624305445901	0.955421812316105	4.40735632396697	0.216778890129798	0.828380664016452	0.926874811039162
AT1G01410	0.203149382669598	0	4.40735632396697	0	1	1
AT1G01420	217.84538999845	-1.06713359031487	0.281532298213445	-3.79044819044462	0.000150375697647686	0.000713593792070528
AT1G01430	1181.30502627589	-1.05174839034166	0.157042547489333	-6.69721936606447	2.12422630725546e-11	4.2482944442721e-10
AT1G01440	424.746367569692	-0.511545041177295	0.234481185611102	-2.1816037813188	0.0291387875741802	0.0705779326769686
AT1G01448	186.465706267238	1.11831108067375	0.23953464910297	4.66868189993264	3.03138313145024e-06	2.18401071694265e-05
AT1G01450	0	NA	NA	NA	NA	NA
AT1G01453	0.289126455063738	1.96278146812224	4.36013482257558	0.450165315521781	0.652591243604257	0.838984565717539
AT1G01460	0.148638138871012	0.955412470876092	4.40735632396697	0.216776770618842	0.828382315869495	0.926874811039162
AT1G01470	5548.24859500523	-0.376570857180018	0.435390272340276	-0.86490415864347	0.387091394876612	0.58317746101587
AT1G01480	4.67540346292723	0.116606221000654	1.07771328577672	0.108197813406944	0.913838779423263	0.992149875764154
AT1G01490	766.285524956407	-0.514737091667263	0.275000972406958	-1.87176462381934	0.0612391744999549	0.131796713773581
